Medicare ID,Year,Facility,Address,City,Zip,Health Service Area,FEIN Number,Legal Entity Owner,Ownership,Administrator,Medical Director Name,Property Owner 1,Property Owner 1 Address,Property Owner 1 City,Property Owner 2,Property Owner 2 Address,Property Owner 2 City,Property Owner 3,Related Entity 1,Related Entity 1 Relationship,Related Entity 1 Interest,Related Entity 2,Related Entity 2 Relationship,Related Entity 2 Interest,Related Entity 3,Related Entity 3 Relationship,Related Entity 3 Interest,Related Entity 4,Related Entity 4 Relationship,Related Entity 4 Interest,Related Entity 5,Related Entity 5 Relationship,Related Entity 5 Interest,Full-Time Work Week,Regsitered Nurse FTE,Dialysis Technician FTE,Dietician FTE,Social Worker FTE,LPN FTE,Other Health FTE,Other Non-Health FTE,Total Employees,Personnel Comments,Authorized Stations Start,Certified Stations Start,Authorized Stations End,Certified Stations End,Peak Station Operated,Stations Setup October,Isolation Stations October,In-Center Treatments,Average Treatment Time,Number of Missed Patients,Shifts Monday,Shifts Tuesday,Shifts Wednesday,Shifts Thursday,Shifts Friday,Shifts Saturday,Shifts Sunday,Incenter Nocturnal Dialysis,Hours of Operation Oct 1,Hours of Operation Oct 2,Hours of Operation Oct 3,Hours of Operation Oct 4,Hours of Operation Oct 5,Hours of Operation Oct 6,Hours of Operation Oct 7,Patients Treated Oct 1,Patients Treated Oct 2,Patients Treated Oct 3,Patients Treated Oct 4,Patients Treated Oct 5,Patients Treated Oct 6,Patients Treated Oct 7,Beginning Patients,Ending Patients,Total Patients Treated,Number of New Patients,Number of Transient Patients,Number Patients Re-Started,Number Post-Transplant,Number Recovered,Number of Transplant Recipients,Number Transferred,Number Voluntarily Discontinued,Number Lost to Follow-up,Number of Patients Died,Medicare Patients,Medicaid Patients,Other Public Patients,Private Insurance Patients,Private Pay Patients,Charity Patients,Total Patients Payment,Male Patients Under 14,Female Patients Under 14,Total Under 14,Male Patients 15-44,Female Patients 15-44,Total 15 to 44,Male Patients 45-64,Female Patients 45-64,Total 45 to 64,Male Patients 65-74,Female Patients 65-74,Total 65 to 74,Male Patients 75 and Over,Female Patients 75 and Over,Total 75 and Over,Total Males Age,Total Females Age,Total Patients Age,Asian Patients,American Indian Patients,Black African Patients,Hawaiian Pacific Patients,White Patients,Unknown Race Patients,Total Residents Race,Hispanic Latino Patients,Non-Hispanic Latino Patients,Unknown Ethnicity Patients,Total Residents by Ethnicity,Starting Date,Ending Date,Source of Financial Data,Total Capital Expenditures,Project 1,Project 1 Amount Obligated,Project 1 Financing,Project 1 CON Number,Project 2,Project 2 Amount Obligated,Project 2 Financing,Project 2 CON Number,Project 3,Project 3 Amount Obligated,Project 3 Financing,Project 3 CON Number,Project 4,Project 4 Amount Obligated,Project 4 Financing,Project 4 CON Number,Project 5,Project 5 Amount Obligated,Project 5 Financing,Project 5 CON Number,Project 6,Project 6 Amount Obligated,Project 6 Financing,Project 6 CON Number,Project 7,Project 7 Amount Obligated,Project 7 Financing,Project 7 CON Number,Project 8,Project 8 Amount Obligated,Project 8 Financing,Project 8 CON Number,Project 9 Amount Obligated,Project 10 Amount Obligated,Long-Term Debt,Net Revenue - Medicare,Net Revenue - Medicaid,Net Revenue - Other Public,Net Revenue - Private Insur,Net Revenue - Private Pay,Total Revenue,Medicare Check,Medicaid Check,Other Public Check,Private Insurance Check,Private Pay Check,Actual Cost of Charity Care,Charity Check,Covid,Contact Person,Contact Person Title,Contact Person Telephone,Contact Person Email,Person Certifying,Certifier Title,Certification Date,Comments,Total Treatments
14-2814,2023,DaVita Little Village,2335 W. Cermak Rd.,Chicago,60608,6,23-2798589,Renal Treatment Centers,For Profit Corporation,Ma.Franchette Ipapo-Maneja,Dr.Ogbonnaya Aneziokoro,"Crystal Realty, Co.",40 Lakeview Drive,"Barrington, IL 60010",,,,,Renal Treatment Centers,Ownership,For Profit Corporation,,,,,,,,,,,,,40,3,6,1,1,0,0,1,12,Non Health-related Professional - Administrative Assistant,16,16,16,16,16,16,0,210,230,6,3,3,3,3,3,3,0,No,0,14,14,14,14,14,14,0,34,32,30,31,34,32,65,68,132,28,39,0,0,1,6,56,0,0,2,70,36,3,21,0,2,132,0,0,0,15,5,20,34,20,54,20,20,40,11,7,18,80,52,132,2,0,41,0,89,0,132,84,48,,132,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$17,972.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,997988.26,360030.48,1212360.43,1354258.36,0,3924637.53,70,36,3,21,0,38160,2,,,,,,,,,,"9,953"
14-2662,2023,DaVita Macon County,1090 W McKinley Avenue,Decatur,62526,4,62-1323090,"DVA Renal Healthcare, Inc.",For Profit Corporation,Tonya Peters,Dr Mohammad Hasnain,NOVASA LLC,1401 Quail St #105,"Newport Beach, California 92660",,,,,,,,,,,,,,,,,,,,40,2,5.375,0.6,0.7,0,1,2,11.675,"Other Health-related Professionals - Facility Administrator
Other Non Health-related Professionals - BioMed Technician, Administrative Assistant",23,23,23,23,23,23,1,240,620,2,2,2,2,2,2,2,0,No,0,11,11,11,11,11,11,0,32,33,31,29,33,32,66,70,101,29,6,0,0,0,1,15,3,0,12,86,1,2,10,0,2,101,0,0,0,13,3,16,19,12,31,16,11,27,15,12,27,63,38,101,1,0,47,0,53,,101,4,97,0,101,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$307,902.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1244026.52,38699.22,1418876.27,1588415.31,0,4290017.32,86,1,2,10,0,24120,2,,,,,,,,,,9298
14-2865,2023,DaVita Metro East #01720,5105 West Main,Belleville,62226,11,20-1649898,"Renal LifeLink, Inc",For Profit Corporation,Crystal Hill,"Rashid Dalal, MD",Realy Income Corporation,11995 EL Camino Real,"San Diego, CA 92130",,,,,,,,,,,,,,,,,,,,40,5,10,1,1,0,0,2.5,19.5,,34,34,34,34,34,34,0,210,"1,257",2,2,2,2,2,2,2,0,No,0,12,12,12,12,12,12,0,55,38,53,38,56,33,115,108,165,47,5,2,1,2,0,22,0,0,13,115,20,8,19,0,3,165,0,0,0,12,12,24,51,30,81,28,14,42,10,8,18,101,64,165,1,0,126,0,36,2,165,2,163,0,165,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$23,077.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1786925.79,100016.95,3327498.98,2523307.05,0,7737748.77,115,20,8,19,0,28956,3,,,,,,,,,,"14,216"
14-2858,2023,DaVita Morris,1551 Creek Drive,Morris,60450,9,95-3372911,Total Renal Care,For Profit Corporation,Catherine Tidball,Ankur Sharma,Keith Jaeschke,8675 Lisbon Rd,"Morris, IL 60450",,,,,,,,,,,,,,,,,,,,40,2,4,1,1,0,0,0,8,,9,9,9,9,9,9,0,210,121,2,2,2,2,2,2,2,0,No,0,12,12,12,12,12,12,0,17,14,17,16,16,16,36,31,56,25,3,7,0,0,2,16,9,0,6,42,8,1,5,0,0,56,0,0,0,3,1,4,14,4,18,8,7,15,12,7,19,37,19,56,0,0,3,0,53,0,56,6,50,0,56,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$21,918.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,857608.09,8340.62,495961.58,257795,0,1619705.29,42,8,1,5,0,0,0,,,,,,,,,,4505
14-2600,2023,Davita Oak Meadows,5020 W. 95th Street,Oak Lawn,60453,7,82-3738636,Total Renal Care,For Profit Corporation,Allison Macarol,Dr. Sreya Pallath,"MIR PMG, LLC",2600 S. Douglas Rd Ste 800,"Coral Gables, FL 33134",,,,,Tania Sirgo,Property Manager,Landlord,,,,,,,,,,,,,40,1,4,0.5,0.5,0,1,1,8,"other health-related professionals - Facility Administrator 
other non health related professionals- Bio Med





For SECTION I: Census dropped due to COVID-19 cohort dropped as of Jan 2023 at this facility.",12,12,12,12,12,12,0,210,75,3,3,0,3,0,3,0,0,No,0,15,0,15,0,15,0,0,26,0,25,0,27,0,0,21,45,16,2,1,1,2,1,7,0,0,4,33,0,5,7,0,0,45,0,0,0,1,1,2,5,11,16,7,8,15,6,6,12,19,26,45,0,0,24,0,21,0,45,10,35,0,45,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$9,324.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,618429,0,610682,729444,0,1958555,33,0,5,7,0,0,0,,,,,,,,,,3878
14-2529,2023,Davita O'Fallon,"1941 Frank Scott Parkway, Suite B",Shiloh,62269,11,,,For Profit Corporation,Tracy Doht,Bassim Assioun,Kunkel Commercial Group,784 Wall Street,"O'Fallon, IL 62269",,,,,,,,,,,,,,,,,,,,40,3,5,0.5,0.5,0,0,0,9,"1 Administrative Assistant
1 Biomed",12,12,16,16,16,12,1,210,477,3,3,2,3,2,3,2,0,No,0,15,12,15,12,15,12,0,28,17,27,16,25,17,36,55,76,24,1,0,0,0,1,10,1,1,4,62,0,3,11,0,0,76,0,0,0,4,0,4,17,16,33,17,12,29,9,1,10,47,29,76,0,0,41,0,34,1,76,1,75,,76,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$6,981.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990953.59,0,952382.37,897384.07,0,2840720.03,62,0,3,11,0,0,0,,,,,,,,,,6906
14-2639,2023,DaVita Olympia Fields,4557 Lincoln Highway,Matteson,60443,7,95-3372911,Total Renal Care,For Profit Corporation,Gregory Pitts,MOHAMMAD BARAKAT,LIBERTY PLAZA,11 EAST MADISON,"CHICAGO, IL 60602",,,,,TOTAL RENAL CARE,OWNER,WHOLLY OWNED,,,,,,,,,,,,,424,2.5,7,0.5,0.5,0,0,2,12.5,"FACILITY ADMINISTRATOR
ADMINISTRATIVE ASSISTANT",24,24,24,24,24,24,0,230,448,2,3,2,3,2,3,2,0,No,0,19,14,19,14,19,14,0,31,25,28,24,30,27,58,56,87,28,5,0,2,1,2,28,0,0,6,71,4,3,6,0,3,87,0,0,0,5,2,7,20,18,38,14,14,28,5,9,14,44,43,87,0,0,79,0,4,,83,4,0,0,4,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$45,581.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,956676,3114,1477795,611862,0,3049447,71,4,3,6,0,31320,3,,,,,,,,,,8417
14-2553,2023,DaVita Park Manor,9505 S Colfax Ave.,Chicago,60617,6,60617,"Total Renal Care, Inc",For Profit Corporation,Ashley Frias,"Dr. Rita McGill, MD",Philip De Carion,9505 S Colffax Ave.,"Chicago, IL 60617",,,,,University of Chicago,JV Partner,JV,,,,,,,,,,,,,40,3,7,1,1,0,1,2,15,"1- Other Health- Facility Administrator
2- Other Non Health- Administrative Assistant & Biomed",16,16,16,16,16,16,1,3,580,3,3,2,3,2,3,2,0,No,0,15,11,15,11,15,11,0,35,19,32,16,36,19,70,68,108,36,7,0,0,2,4,16,0,0,11,84,14,,9,,1,108,0,0,0,6,5,11,24,15,39,22,9,31,13,14,27,65,43,108,0,0,100,,8,0,108,7,101,,108,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$15,312.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460935.87,52957.14,1195793.94,979758,,3689444.95,84,14,0,9,0,28800,1,,,,,,,,,,8886
14-2755,2023,DaVita Rockford Dialysis,3339 N. Rockton Avenue,Rockford,61103,1,23-2798598,DaVita,For Profit Corporation,Mary Blake,Krishna Sankaran,Redina Healthcare,"2024 W. 15th Street, Ste. F #355","Plano, Texas 75075",,,,,Stenstrom Corp,Property Management,,,,,,,,,,,,,,40,3.5,6,1,1,0,0,2,13.5,"Administrative Assistant
Biomedical Technician",22,22,22,22,22,22,1,210,1071,3,3,2,3,2,3,2,0,Off,0,13,8,13,8,13,8,0,44,13,45,10,45,12,56,66,109,61,9,0,0,2,2,34,2,5,5,72,22,2,13,0,0,109,0,0,0,9,5,14,30,19,49,16,16,32,6,8,14,61,48,109,0,0,52,1,45,11,109,11,98,0,109,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$23,767.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,825554.82,69724.75,1301291.79,980374.66,0,3176946.02,72,22,2,13,0,720,0,,,,,,,,,,8088
14-2719,2023,Davita Rushville,112 Sullivan Drive,Rushville,62681,3,62-1323090,DVA Renal Healthcare Inc.,For Profit Corporation,Tanya Jones,Muhammad K. Qaseem,,,,,,,,,,,,,,,,,,,,,,,36,2,2,1,1,,0,1,7,Biomed,8,8,8,8,8,8,1,210,65,2,2,0,2,0,2,0,0,No,0,10,0,10,0,10,0,0,21,0,15,0,21,0,24,24,35,10,1,0,0,1,0,4,2,0,1,28,0,1,6,0,0,35,0,0,0,3,0,3,8,5,13,8,3,11,4,4,8,23,12,35,0,0,1,0,34,0,35,4,31,0,35,1/1/2023,12/3/2023,Review/Compilation of Financial Statements,$-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,414387.53,0,444213.5,311789.06,0,1170390.09,28,0,1,6,0,36360,0,,,,,,,,,,2352
14-2647,2023,Davita Sauget,2061 Gooselake Rd,Sauget,62206,11,23-2798598,"Renal Treatment Centers Illinois , Inc",For Profit Corporation,Jennifer Monk,Dr Usman,Union Planters Trust,1301 Walnut st,Murphysboro,,,,,,,,,,,,,,,,,,,,40,3,5,1,1,0,0,1,11,,20,22,22,22,22,20,20,180,439,3,3,,3,,3,,,No,,16,,16,,16,,,42,,42,,42,,50,46,0,11,14,0,0,1,0,18,1,0,0,,,,,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,,0,,,0,,,,0,1/1/2023,1/31/2023,Review/Compilation of Financial Statements,"$9,140,978.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56043.05,5943957,142033977,43673866,,191707843.1,0,0,0,0,0,0,0,,,,,,,,,,6564
14-2795,2023,DAVITA SCHAUMBURG RENAL CARE,1156 S ROSELLA ROAD,Schaumberg,60193,7,32-0080776,,For Profit Corporation,VICTORIA SMITH,M OHAMMED SHAKALB,TARGO MANAGEMENT,1156 S ROSELLA ROAD,"SCHAUMBURG, IL 60193",,,,,DAVITA KIDNEY CARE,,,,,,,,,,,,,,,40,2,6,1,1,0,1,1.5,12.5,,22,22,22,22,18,18,1,210,83,3,3,1,3,1,3,1,,Off,0,15.5,5.5,15.5,5.5,15.5,5.5,0,26,7,23,8,24,9,50,45,94,15,27,0,1,0,0,15,1,0,5,67,16,2,7,0,2,94,0,0,0,5,4,9,26,14,40,7,7,14,25,1,26,63,26,89,18,0,13,0,63,,94,21,73,0,94,1/1/2023,12/31/2023,,"$12,308.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825323.24,56163.7,979855,520787,0,2382128.94,67,16,2,7,0,16200,2,,,,,,,,,,6537
14-2638,2023,DaVita South Holland Renal Center,16110 S. LaSalle Street,South Holland,60473,7,20-2694671,"Total Renal Care, INC",For Profit Corporation,Carolyn Salus,Dr. Kenneth Cline Medical Director,Genesis KC Development LLC,2000 16 th Street,Denver CO 80202,,,,,,,,,,,,,,,,,,,,37.5,6,12,1,1,0,1,2,23,"Other Health Related Professionals- Biomed Technician

Other Non Health-Related Professionals- Facility Administrator and Administrative Assistant",27,27,27,27,24,24,1,224,1137,3,3,3,3,3,3,3,0,No,0,18.5,18.5,18.5,18.5,18.5,18.5,0,48,32,45,29,45,29,107,97,141,28,4,1,1,1,5,20,0,0,18,102,17,2,19,0,1,141,0,0,0,10,8,18,37,24,61,24,11,35,19,8,27,90,51,141,0,0,128,0,9,0,137,4,0,0,4,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$71,220.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1701484.6,53864.53,2142200.06,2257118.06,0,6154667.25,102,17,2,19,0,6840,1,,,,,,,,,,12366
14-2797,2023,Davita Stony Creek Dialysis,6246 W. 95th Street,Oak Lawn,60453,7,20-1649898,"Renal Life Link, INC",For Profit Corporation,Tameka Wood,"James Rydel, MD",Shopps Of Oak Lawn LLC,4539 N. Sheridan Rd.,Chicago IL 60640,4151 Sheridan Ventures LTD,4541 N. Sheridan Rd.,Chicago IL 60640,,,,,,,,,,,,,,,,,40,2,5,1,1,0,1,2,12,Administrative Assistant  and Biomed Non Clinical,16,16,16,16,15,15,0,210,185,3,3,2,3,2,3,2,0,No,0,16,12,16,12,16,12,0,28,16,29,16,30,18,48,47,77,24,13,1,2,1,2,23,1,1,9,58,8,1,10,0,0,77,0,0,0,3,3,6,17,7,24,9,5,14,13,20,33,42,35,77,3,0,11,0,63,0,77,12,65,0,77,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005715.43,78589.26,856604.66,678283.07,,2619192.42,58,8,1,10,0,0,0,,,,,,,,,,6989
14-2643,2023,Davita Sun Health,2121 Oneida St Suite 104,Joliet,60435,9,82-1391669,"Secour Dialysis, LLC",For Profit Corporation,Catherine Tidball,Beata Kisiel,First Secure Community Bank of Joliet,2398 Essington Road,"Joliet, IL 60435",,,,,DULY Medical Group,,,Sun Nephrology,,,,,,,,,,,,40,6,6,1,1,0,0,0,14,,16,16,16,16,16,16,1,7097,210,160,2,2,2,2,2,2,0,No,0,14,12,14,12,14,12,0,30,12,28,12,28,14,54,44,65,14,8,3,0,2,2,20,3,0,8,51,5,3,6,0,0,65,0,0,0,2,1,3,11,7,18,16,10,26,7,11,18,36,29,65,4,1,24,0,36,0,65,11,54,0,65,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$9,241.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,757077.13,35904.53,1256649.34,724671.39,0,2774302.39,51,5,3,6,0,0,0,,,,,,,,,,
14-2747,2023,Davita Sycamore,2200 Gateway Drive,Sycamore,60178,1,68-0555153,"Dialysis of Northern Illinois, LLC",Limited Liability Company,Ashley Preston,Bindu Pavithran,Patricia Denarde,831 Walnut Ave,"Burlington, CA",,,,,Rockford Nephrology,JV Partner,Ownership Interest,,,,,,,,,,,,,30,2,7,1,1,0,2,0,13,Other Health-Related Professionals: Facility Administrator and Administrative Assistant,14,14,14,14,14,14,0,220,521,2,2,2,2,2,2,2,2,No,0,13,15,13,12,13,12,0,25,22,24,19,25,22,58,45,89,21,9,0,0,5,2,23,10,0,6,66,9,2,12,0,0,89,0,0,0,5,3,8,25,10,35,11,10,21,11,14,25,52,37,89,0,0,12,0,77,,89,12,77,,89,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$381,000.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,987807.89,6544.32,1085239.44,767956.97,0,2847548.62,66,9,2,12,0,0,0,,,,,,,,,,6955
14-2505,2023,Davita Tinley Park,16767 80th Ave,Tinley Park,60477,7,47-1422097,Total Renal Care,For Profit Corporation,Allison Macarol,Dr. Naila Ahmed,Chicagoland Zane Holdings LLC,PO BOX 6410,"Santa Ana, CA 92706-0410",,,,,,,,,,,,,,,,,,,,40,3,5,0.5,0.5,0,1,1,11,"other health-related professionals - Facility Administrator 
other non health related professionals- Bio Med",14,14,14,14,14,14,0,205,181,2,2,2,2,2,2,2,0,No,0,12,11,12,11,12,11,0,27,19,23,18,27,18,0,26,82,41,16,5,0,2,1,22,6,0,3,57,10,3,11,0,1,82,0,0,0,2,3,5,15,11,26,11,6,17,17,17,34,45,37,82,2,0,14,1,65,0,82,4,78,0,82,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$5,632.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,945195,73071,592914,1655266,0,3266446,57,10,3,11,0,12600,1,,,,,,,,,,6384
14-2840,2023,DaVita West Lawn,7000 S Pulaski Rd,Chicago,60629,6,95-3372911,"Total Renal Care, Inc",For Profit Corporation,Ashley Frias,Dr. Michael Arvan,Heidner Property Mgmt,5277 Trillium Blvd,"Hoffman Estates, IL. 60192-3602",,,,,"Total Renal Care, Inc.",Lessee,,,,,,,,,,,,,,40,2,6,1,1,0,1,2,13,"1 - Other Health - Facility Administrator
2 - Other Non Health - Administrative Assistant & Biomed",12,12,12,12,12,12,1,210,689,3,3,3,3,3,3,3,0,No,0,14,14,14,14,14,14,0,32,21,31,22,32,22,54,63,94,30,21,2,0,1,4,26,0,8,4,54,36,1,3,0,0,94,0,0,0,2,8,10,12,27,39,11,20,31,7,7,14,32,62,94,0,0,28,0,66,0,94,59,35,0,94,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$17,011.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,684684.55,298187.58,1115231.31,1568710,0,3666813.44,54,36,1,3,0,0,0,,,,,,,,,,7974
14-2685,2023,Decatur East Wood,794 East Wood Street,Decatur,62523,4,621323090,Davita Dialysis,For Profit Corporation,Katie White,Mohammad Hasnain,NAFA Real Estate,46 Hamilton Lake,"Oak Brook, IL 60523",,,,,,,,,,,,,,,,,,,,40,2,3,0,1,0,0,2,8,Other: Facility Administrator and Administrative Assistant,18,18,18,18,18,18,0,180,1147,2,2,2,2,2,2,2,0,No,0,11.5,11.5,11.5,11.5,11.5,11.5,0,26,21,25,19,27,23,58,60,61,9,3,0,0,1,2,8,3,1,14,49,2,3,6,,1,61,0,0,0,3,4,7,21,10,31,8,5,13,8,2,10,40,21,61,,,40,,21,,61,,61,,61,1012023,12312023,Review/Compilation of Financial Statements,$-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1222781.32,22568.81,1825440.42,1327997,0,4398787.55,49,2,3,6,0,12819,1,,,,,,,,,,8243
14-2581,2023,Dialysis care center Beverly,10801 s western,Chicago,60643,6,82-2576141,,Limited Liability Company,Faith Osemwengie,Dr Muhammad Omer,,,,,,,,,,,,,,,,,,,,,,,40,4,12,1,1,0,0,0,18,,16,16,16,16,16,16,0,240,423,3,3,3,3,3,3,3,3,No,0,16,16,16,16,16,16,0,44,26,44,29,43,30,79,71,114,30,1,2,0,0,1,2,0,0,0,56,15,0,8,0,0,79,0,0,0,8,7,15,11,17,28,6,9,15,9,12,21,34,45,79,7,0,54,0,15,3,79,9,65,5,79,1/1/2023,31/12/2023,Review/Compilation of Financial Statements,"$2,570.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8748,2249874,386439,0,565367,0,3201680,56,15,0,8,0,0,0,,,,,,,,,,10044
14-2599,2023,DIALYSIS CARE CENTER ELGIN,995 NORTH RANDALL RD,Elgin,60123,8,83-0881805,DIALYSIS CARE CENTER LLC,Limited Liability Company,Ivan Salvador,"RUCHI SOOD, MD",DYN COMMERCIAL HOLDINGS LLC,6801 SPRING CREEK RD,ROCKFORD IL 61114,,,,,,,,,,,,,,,,,,,,36,3,5.5,0.25,0.25,0,0,1,10,1-FT ADMINISTRATIVE ASSISTANT/PCT,14,14,14,14,14,14,1,240,84,2,2,2,2,2,2,2,0,No,0,12,12,12,12,12,12,0,22,19,20,19,19,19,40,40,56,16,0,0,0,2,2,6,2,0,3,40,5,3,12,0,0,60,0,0,0,2,1,3,16,9,25,8,4,12,10,10,20,36,24,60,8,0,10,0,42,0,60,23,37,0,60,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$30,779.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261568,1326397,203222,,611077,11700,2152396,40,5,3,12,0,0,0,,,,,,,,,,6171
14-2622,2023,Dialysis Care Center Evergreen,9834 s Kedzie Avenue,Evergreen Park,60805,7,,,Limited Liability Company,Larry  Oladunjoye,Dr Osezua Olear,,,,,,,,,,,,,,,,,,,,,,,40,2,8,1,1,0,0,1,13,,16,16,16,16,16,16,0,240,255,3,3,2,3,2,3,2,0,No,0,39,24,41,25,39,25,0,16,12,16,12,16,12,64,54,114,33,1,2,0,3,4,10,0,0,2,37,15,0,13,0,0,65,0,0,0,8,6,14,7,6,13,12,11,23,5,10,15,32,33,65,6,0,32,0,17,10,65,32,28,5,65,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$14,312.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84909,1738697,337619,,907008,8100,2991424,37,15,0,13,0,0,0,,,,,,,,,,8436
14-2609,2023,Dialysis Care Center Hazelcrest,18325 Pulaski Road Unit A-B,Hazel Crest,60429,7,83-238836,Dialysis Care Center,Limited Liability Company,Marvinia Anderson,Dr. Syed Hashmi,National Shopping Plaza,200 W. Madison Suite 4200,"Chicago, IL 60606",,,,,Dialysis Care Center,Parent Company,For Profit LLC,,,,,,,,,,,,,554,2.8,6.65,0.8,0.8,0,1,1.8,13.85,"Administrative Assistant
Facility Manager
Biomed",12,12,12,12,12,12,0,240,623,3,3,3,3,3,3,3,0,No,0,16,15,16,15,16,15,0,29,30,31,32,29,27,66,66,104,31,0,0,1,1,2,22,0,0,5,66,23,0,11,4,0,104,0,0,0,9,9,18,21,16,37,13,19,32,10,7,17,53,51,104,0,0,91,0,13,0,104,7,96,1,104,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$5,005.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3673,2176610,364068,,568107,-5850,3102935,66,23,0,11,4,0,0,,,,,,,,,,9331
14-2583,2023,DIALYSIS CARE CENTER MCHENRY,612 S ROUTE 31,McHenry,60051,8,81-4778754,DIALYSIS CARE CENTER LLC,Limited Liability Company,Ruth Rodriguez,"FARHAN BANGASH, DO",PINNACLE INVESTMENT PARTNERS,812 CAMPUS DRIVE,JOLIET IL 60435,,,,,,,,,,,,,,,,,,,,36,3.5,6,0.25,0.25,0,0,1,11,1 FT ADMINISTRATIVE ASSISTANT,14,14,14,14,14,14,1,240,152,2,2,2,2,2,2,2,0,No,0,12,12,12,12,12,12,0,23,11,22,13,23,11,49,42,70,15,0,0,0,2,1,6,3,0,8,52,3,4,11,0,0,70,0,0,0,5,2,7,15,6,21,9,9,18,14,10,24,43,27,70,0,0,1,0,69,0,70,11,59,0,70,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$13,068.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8616,1538973,68836,,690365,-6469,2291705,52,3,4,11,0,0,0,,,,,,,,,,6197
14-2541,2023,Dialysis Care Center Oaklawn,9115 s Cicero,Oaklawn,60453,7,81-1874961,,Limited Liability Company,Lorna Sanders,Dr Sushant Taksande,,,,,,,,,,,,,,,,,,,,,,,40,0,3,7,1,0,0,1,12,,12,12,12,12,12,12,0,240,280,3,3,3,3,3,3,3,0,No,0,16,16,16,16,16,16,0,31,36,32,33,31,36,65,62,99,18,4,0,0,1,1,2,0,0,4,38,14,0,15,0,0,67,0,0,0,6,9,15,8,10,18,9,9,18,7,9,16,30,37,67,4,0,49,0,12,2,67,4,59,4,67,1/1/2023,12/31/2023,Review/Compilation of Financial Statements,"$42,160.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93065,1937882,293209,,1136042,16800,3383933,38,14,0,15,0,0,0,,,,,,,,,,9261
